log_GDPpC,Water_Stress,log_TIRWRpC,Agri,bEvents,HDI,agr_GDP,pred,Area,pred1
11.392886944902333,-3.4314409338917526,8.442005091201345,9.252170487266667,0,0.9460000000000001,0.6486616666666667,526836.7207612488,Switzerland,541943.6780714251
8.851229179171117,-2.035368765958206,8.049485179440396,90.3744808572,0,0.765,8.744431666666665,1030823.7464188066,Thailand,1152335.8588700409
6.934466012104241,-2.922231917118178,7.199344308352941,89.3518518519,0,0.528,26.523899333333333,244597.95533143287,United Republic of Tanzania,308648.4932214798
8.312080011365284,-4.070076148620581,10.255844103274526,73.852110155,0,0.726,4.944527333333333,3783181.5986883063,Venezuela,3891663.715928431
6.756117342030647,-4.547758301334664,6.746812657633665,40.6593406593,0,0.528,24.57249566666667,754520.712516399,Uganda,647464.809259465
5.954482366806919,-1.1658559085210487,7.076235164163736,98.169627299,0,0.496,32.42487633333334,5838331.937978007,Afghanistan,7367160.339267902
9.140553308812054,-1.257613200508257,7.871667942885477,91.27652066276666,0,0.807,6.226873333333333,2974307.4697798504,Turkey,3324914.8214129764
5.4865954018215035,0.5116925516141538,4.0523587105155014,90.74333800840002,0,0.463,19.259749,1555955.9204993783,Yemen,2598937.4119269545
6.72317082655928,-4.189034626400303,7.167526499007456,34.0807174888,0,0.513,19.024359,594914.1357313155,Togo,563790.5097003934
6.4706415870317695,-0.003769531304322254,5.7981609584747655,87.5277439679,0,0.549,33.177454000000004,3224950.479590372,Syria,6448108.59696858
11.130013387659414,-1.932740453555893,9.021610817959345,39.6587814265,0,0.92,0.9208176666666666,2605554.5451575615,United States of America,2680268.39810645
8.216616408187273,-2.377619615598889,8.198473611198848,94.7823966841,0,0.693,12.364294000000001,3430919.447723167,Vietnam,3728752.9760942287
8.209691449670403,-0.25449117135853,5.855696817326255,75.5421753916,0,0.739,10.1068,649693.6519376122,Tunisia,653798.4447447775
9.720747551215872,-2.3050580753808148,7.8560506474697585,4.3580375783,0,0.799,1.4416363333333333,341834.1833007217,Trinidad and Tobago,351636.2229285223
7.563763731023969,-0.04945358446931067,6.1698532404090685,91.66310355130001,0,0.71,24.312505666666667,1598721.3767897927,Uzbekistan,2183136.544558642
6.765651846051425,-0.7948630175121613,8.759442651283866,74.5252525253,0,0.656,23.244919333333332,602196.6085254634,Tajikistan,757617.0700635071
8.423064965488429,-3.138441368222105,7.150008399366703,26.730194645433333,0,0.75,9.472709666666667,6129058.819858866,Ukraine,6960862.059581043
6.988236135987699,-4.199892036986235,8.317241208474373,73.2824427481,0,0.591,3.160587666666667,128601.608475215,Zambia,137055.86475548908
10.556906753737927,3.423396056011236,2.7900232801899145,47.78082063866666,0,0.866,0.9103496666666667,122044.1244357448,United Arab Emirates,132817.40803468155
8.924773147431868,-0.194482152118001,5.294299598863545,82.30593668043333,0,0.71,10.608907333333333,361204.2208069281,Turkmenistan,363486.3248155854
9.816401128736157,-3.661248250239841,10.209294747980875,77.62155345813333,0,0.8080000000000002,7.284394333333332,253361.97177711822,Uruguay,260627.0851240546
7.668253491813903,-1.9474141689759374,8.715063954461348,91.3822525597,0,0.626,10.657794,91933.82753886384,East Timor,119058.11546080181
8.645297919097281,-1.0037714316301452,6.676728913967538,92.1051444115,0,0.754,5.743186000000001,864096.8793995781,Azerbaijan,965672.2475287737
8.67187088322386,-5.079796756410063,11.984535685642255,69.9951290794,0,0.7239999999999999,8.364974333333334,271313.7409348338,Suriname,279093.6183436149
8.896722355622636,-7.084564280644632,11.142281742554722,28.9719626168,0,0.702,6.216995999999999,42995.83047926844,Gabon,44228.728927628865
10.645064274438512,-2.1531234381480737,8.015409864721413,11.512386713966668,0,0.891,1.7034580000000001,2109258.1714961235,France,2169740.8066224107
10.82990756906277,-3.5782334336736836,9.86744867157057,32.870101228466666,0,0.9250000000000002,2.392862,238665.7809175788,Finland,245509.4833810508
8.501692771923473,-5.817970241332767,10.346061245336415,58.892815076599994,0,0.7239999999999999,14.081502666666665,153254.35446690087,Fiji,145776.68664707404
6.677999285248328,-2.449075531335398,6.908019864580747,91.8364444782,0,0.47,36.925455,1025213.166459296,Ethiopia,1293675.977911251
8.160725623255624,-1.4407767796083284,7.691694474510084,94.1947565543,0,0.608,8.174499666666668,18964.89825828794,eSwatini,22289.815479363635
8.548674887325477,-0.9666210045388779,7.77571025728043,74.61774535983334,0,0.7600000000000001,11.022163,897047.6729199104,Armenia,853278.4466556578
10.170439996905857,-2.5317268549727507,9.159741243165483,0.4938168453666667,0,0.882,2.1439109999999997,131026.3528058036,Estonia,134783.51216911635
8.70158648187678,-7.180237526307555,9.601241290999326,5.0505050505,0,0.588,2.7040036666666665,149090.1054291259,Equatorial Guinea,161245.73361351612
8.426962584010841,-3.020559476645359,7.823667742243167,54.663398908400005,0,0.6670000000000001,4.983632666666666,1788254.7755173235,El Salvador,1934054.9283013209
8.14660337313362,0.2965653333653328,2.3039148819959343,79.1612903226,0,0.6999999999999998,11.316764999999998,4011504.635229584,Egypt,4036849.4963398813
8.681175310939212,-3.797903132886579,10.127382721207278,81.427707199,0,0.758,9.366214000000001,1042971.51242206,Ecuador,1072878.5509654672
9.031291643900133,-0.9516306164102476,7.656474991290731,83.3122197865,0,0.745,5.831750333333333,1382685.7940304868,Dominican Republic,1422334.0843653406
9.03931621465111,-2.3029210313070108,7.998750971809736,5.0,0,0.7239999999999999,16.197156,20077.383365731985,Dominica,19097.757018262128
6.44947808636112,-2.531669670080983,6.729727675140088,94.5017182131,0,0.434,17.614612333333334,785129.6980530074,Eritrea,743006.6473759684
